1,6395,2.2425
1,54771,2.2425
1,74685,2.2425
1,4262,2.2371
1,1037,2.2367
1,1320,2.2367
1,2364,2.2367
1,2722,2.2367
1,4552,2.2367
1,8810,2.2367
1,55232,2.2367
1,86835,2.2367
1,91660,2.2367
1,60471,2.232
1,292,2.2249
1,3032,2.2249
1,5046,2.2249
1,5944,2.2249
1,6264,2.2249
1,56921,2.2249
1,58297,2.2249
1,72378,2.2249
1,88744,2.2249
1,519,2.2211
1,8361,2.2187
1,58025,2.2187
1,91500,2.2187
1,117529,2.2187
1,4326,2.2185
1,122920,2.2176
3,389,3.5077
3,920,3.5077
3,1183,3.5077
3,1944,3.5077
3,2067,3.5077
3,2919,3.5077
3,3117,3.5077
3,3414,3.5077
3,3854,3.5077
3,3992,3.5077
3,4194,3.5077
3,4337,3.5077
3,4727,3.5077
3,5373,3.5077
3,5799,3.5077
3,5825,3.5077
3,7162,3.5077
3,7809,3.5077
3,8197,3.5077
3,32844,3.5077
3,72479,3.5077
3,74688,3.5077
3,356,3.4804
3,2324,3.4804
3,3003,3.4804
3,48032,3.4804
3,26791,3.4777
3,7303,3.4743
3,58306,3.4743
3,91126,3.4743
4,1023,4.5348
4,1024,4.5348
4,1489,4.5348
4,2096,4.5348
4,3759,4.5348
4,3775,4.5348
4,5629,4.5348
4,6414,4.5348
4,31193,4.5348
4,91488,4.5348
4,1029,4.5272
4,2394,4.5262
4,3725,4.5262
4,78122,4.5262
4,551,4.5181
4,596,4.5181
4,1025,4.5181
4,1282,4.5181
4,2087,4.5181
4,2084,4.5179
4,4039,4.5179
4,4188,4.5179
4,594,4.5134
4,48,4.5076
4,783,4.5076
4,1022,4.5036
4,72737,4.5036
4,1926,4.5014
4,2877,4.5014
4,8819,4.5014
5,899,3.9189
5,907,3.9189
5,945,3.9189
5,1057,3.9189
5,1066,3.9189
5,1067,3.9189
5,1081,3.9189
5,1380,3.9189
5,1381,3.9189
5,3549,3.9189
5,3602,3.9189
5,3606,3.9189
5,3675,3.9189
5,4356,3.9189
5,5106,3.9189
5,5168,3.9189
5,6183,3.9189
5,6357,3.9189
5,6358,3.9189
5,6732,3.9189
5,6739,3.9189
5,7050,3.9189
5,7055,3.9189
5,7132,3.9189
5,8263,3.9189
5,25965,3.9189
5,26775,3.9189
5,31694,3.9189
5,32381,3.9189
5,60397,3.9189
6,5952,3.3836
6,7153,3.3167
6,4993,3.2803
6,155,3.1838
6,340,3.1838
6,1204,3.1838
6,1619,3.1838
6,6458,3.1838
6,6947,3.1838
6,5611,3.1409
6,8700,3.1409
6,7840,3.1307
6,1303,3.1269
6,1419,3.1269
6,2101,3.1269
6,3168,3.1269
6,3285,3.1269
6,3470,3.1269
6,4312,3.1269
6,4688,3.1269
6,5227,3.1269
6,6630,3.1269
6,6760,3.1269
6,7063,3.1269
6,7087,3.1269
6,7771,3.1269
6,8873,3.1269
6,26472,3.1269
6,75983,3.1269
6,80839,3.1269
8,4212,3.9056
8,4469,3.9056
8,4969,3.9056
8,47728,3.9056
8,69945,3.9056
8,2371,3.8847
8,3721,3.8847
8,5110,3.8847
8,7073,3.8847
8,7832,3.8847
8,7833,3.8847
8,41912,3.8847
8,66596,3.8847
8,79299,3.8847
8,1086,3.8817
8,1092,3.8817
8,1661,3.8817
8,2579,3.8817
8,4177,3.8817
8,4506,3.8817
8,4768,3.8817
8,5630,3.8817
8,8404,3.8817
8,8879,3.8817
8,26342,3.8817
8,102903,3.8817
8,158238,3.8817
8,4610,3.8704
8,4898,3.8704
8,5021,3.8704
